actual_arrival_date,assignment,audit_date,country_of_origin,date_issued,description,eccn_code,entryid,eu_dual_use_code,expected_arrival_date,gdrivefolder,issue_version,jobcard,last_jobcard_comment,location,manufacturer_serialno,name,office,order_promise_date,patch,purchase_order,serialno,status,vendor,work_order
2017-12-06,,,GBR,2017-11-07,Lemur-2 Backplane,9A515.X,23298,NLR,2017-12-12,1EIJ9ODbpSSw_WEJ1qTJiAeE55Qj3o1lc,3.5.0,1o8nTIPYUTGJwOiwZjNPLQsNGHdWKX8xvRCmxMdOFvU0,Returned to stores - FLIGHT,MANUFACTURING,SN0693,LEM2BACK,UK,2017-12-06 00:00:00+00:00,0,2170317,LBCK0210,FAULTY,HALLMARK ELECTRONICS LIMITED,
2018-01-11,,,GBR,2017-11-16,Flash S-Band Radio Digital PCB,9A515.X,24458,NLR,2018-01-12,1TvCuVhREg9_PkdDqLXru758eW8YxMp7r,1.5.1,1bWyZwIY5yLMcfttVB8sZn9NIbdmvK41_Ntrh2Mtjyj0,"<p>Workflow task <strong> WI 002 FLASHDIG 1.5 -> FLASHDIG Power On, Selfcheck</strong> set to <strong>failed</strong>. Comment: Failed due to not being ale to boot up into serial. Suspected that it may be the ZYNC chip, A/W x-rays of the board </p>",MANUFACTURING,HMK17/47SN-0622,FLASHDIG,UK,2017-12-21 00:00:00+00:00,0,2170350,FLDG0163,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-01,,,GBR,2017-10-30,Lemur Electrical Power System,9A515.X,21424,NLR,2017-12-04,0B8g1PtZpbs-qaXpWWE0yb2Q1Mms,1.4.3,1C3ce6Mu36HuAp9NlnRhyFpnsBzych5PIZToA9GeV93E,"<p style="""">During Over-voltage Testing 30V was applied to the VBAT rail by mistake and caused damage to the PCB. Visible damage on Q7 ,Q8 and Q9. Debug required. <br><br>If possble suggest never to use this board for flight.&nbsp;</p>",X-003A,,LEMEPS,UK,2017-11-27 00:00:00+00:00,0,2170277,LEPS0083,FAULTY,HALLMARK ELECTRONICS LIMITED,
2018-02-01,,,GBR,2017-11-14,DEPLOYABLE SBAND PATCH + UHF MONOPOLE MOUNTING PLATE,9A515.X,24333,NLR,2017-12-20,1giyYJ8Q7ACXlkb8wy-ALxMXGs_Ug3D5j,3.0.0,1Zfo87y31yjpofbtJUiW8fpqD1VZY7-Ot-lVNAHUr3tg,<p>Failed- Small chip on white paint on front of plate. NCRhttps://app.asana.com/0/104938003044303/555795215999468 - Picture- https://drive.google.com/drive/folders/1koEdpbPGNlhKn6OrzWeogj2g8rBots15</p>,X-003D,,L2SPLT17,UK,2017-12-20 00:00:00+00:00,0,2170340,L2P17112,FAULTY,GOSPORT METAL TREATMENTS LTD,
2018-02-07,,,,2018-01-22,"047 FEP FORMABLE COAX CABLE, 260MM, RA-MCX TO RA-MCX",9A515.x,25487,NLR,2018-02-09,1ZJSkr_TwI3dTnRToVgE8nqqtN-MphQYi,1.0,1IGgjurDj5rln2wugwM2_KyEUlbr_sousbZcTA5L8RB4,<p>Workflow task <strong> Incoming Inspection</strong> set to <strong>failed</strong>. Comment: passed inspection of length but failed cable test </p>,MANUFACTURING,,COAX0027,UK,2018-02-19 00:00:00+00:00,0,2170484,C0270055,FAULTY,COAX CONNECTORS,
2017-06-26,,,USA,2017-06-05,FARCOM UHF Transceiver PCB,9A515.X,18609,NLR,2017-06-26,0B8g1PtZpbs-qUzJsemJ0TUMwT0E,2.2.1,12zgKU3afWcIXtD2ln-iaCc2iSTJ3U_gWXbnx1aHIHq0,"<p style="""">FARCOM became unresponsive during thermal scotty testing when integrated onto SLED009. <br><br>PASSED scotty at ambient and -20degrees but FAILED all tests at 50degree. <br><br>Powered the FARCOM at module level and re-tested at 50degrees in the thermal chamber. <br>FARCOM goes into a reset loop. Suspect this could be the SRAM chip not being able to handle high temperatures.&nbsp;</p>",X-003C,,FARCOM,UK,2017-06-19 00:00:00+00:00,0,2170081,FCOM0184,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-11-27,,,USA,2017-10-30,Flash S-band Radio RF PCB,9A515.X,21530,NLR,2017-11-27,0B8g1PtZpbs-qaFdkcG1wcVJfSVE,1.3.1,1Zu5FXQjpV5GF_4wMk08vhYidVcYDC3pUTwsFpaLVOyI,"<p>RFLASHRF failing to transmit RF signal. <a href=""https://app.asana.com/0/104938003044303/545833903842310"">NCR</a></p>",X-003C,HMK17/45 33475/1 SN0295,FLASHRF,UK,2017-11-27 00:00:00+00:00,0,2170277,FLRF0165,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-11-27,,,USA,2017-10-30,Flash S-band Radio RF PCB,9A515.X,21522,NLR,2017-11-27,0B8g1PtZpbs-qTlZQYmp1QTdSWFE,1.3.1,1y_VvS4n9EUxu5zvmivFWMsMBNedaJlwW4wl2_HKns0A,"<p>FLASHRF board failing TX tunning <a href=""https://app.asana.com/0/104938003044303/550844168783652"" rel=""noopener noreferrer"" target=""_blank"">NCR</a><br><br></p>",X-003C,HMK17/45 33475/1 SN0301,FLASHRF,UK,2017-11-27 00:00:00+00:00,0,2170277,FLRF0157,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-20,,,GBR,2017-11-09,LEMUR2 SPAC Module Baseplate,9A515.X,23761,NLR,2017-12-20,,1.0.1,,"<p>ECN Completed , however gasket damaged in one area. To be repaired.</p>",X-001,,SPACS_CHASSIS,UK,2017-12-20 00:00:00+00:00,0,2170326,SPCHA018,FAULTY,GOSPORT METAL TREATMENTS LTD,
2017-10-23,,,USA,2017-09-29,Flash S-band Radio RF PCB,9A515.X,20555,NLR,2017-10-23,0B8g1PtZpbs-qeFRCU3RQU0xPNkE,1.3.1,1zuiXzboqX5d0njLJVZpN1jDvG0Ajq-BSedE_c4qjAO0,"<p>FAILED - <a href=""https://app.asana.com/0/63079693064060/546021626866530"" rel=""noopener noreferrer"" target=""_blank"">NCR</a></p>",MANUFACTURING,HMK17/41 33367/1 SN004,FLASHRF,UK,2017-10-23 00:00:00+00:00,0,2170217,FLRF0153,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-04-12,,,GBR,2017-03-17,RADFACE UHF Transceiver PCB,9A515.X,18124,NLR,2017-04-12,0B8g1PtZpbs-qX243YmptQVpWb0E,1.2.1,1cl2rk5vj-VcIL7UMJQv0xJqMqc4TCWd7_6Pl8Lujzac,<p>Conformal coated- Inspected SMcG- FLIGHT</p>,ENGINEERING,,RADFACE,UK,2017-04-14 00:00:00+00:00,0,2170036,RADF0068,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-09-08,,,GBR,2017-07-25,VHF and UHF antenna system with wide band UHF matching.  ,9A515.X,19197,NLR,2017-09-11,0B8g1PtZpbs-qQWNHcEQwSk5TTzg,1.3.1,1fVx6DAywJER_asnMI1WF1RScCUR6P7Jx2FDG3uJ_du8,"<p><a href=""https://app.asana.com/0/104938003044303/536887242822281"">NCR</a></p>",X-003B,HMK17/34 33162/1 SN005,AURORA,UK,2017-08-29 00:00:00+00:00,0,2170123,AURA0088,FAULTY,HALLMARK ELECTRONICS LIMITED,
2017-12-01,,,GBR,2017-11-10,Lemur Electrical Power System,9A515.X,23857,NLR,2017-12-04,1C4RuPskPI98YhDihLyfpLnrVHwMVkV9z,1.4.2,1EL5ZVPRWwcW2m1L49ywdI9qP4wsW7FulLjBc5GK1ZtA,<p>During Efficiency debug / disabling the 12V line supect U31 has been damaged. This will need replaced before re-testing as the 12V line has gone.&nbsp;</p>,X-003B,,LEMEPS,UK,2017-11-27 00:00:00+00:00,0,2170277,LEPS0107,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-02-05,,,ABW,2015-12-21,Flash S-band Radio RF PCB,9A515.x,8668,nlr,2016-02-05,0B8g1PtZpbs-qNF91aDg0SjNXaTg,1.2.1,1nBgb1CWhkZr4rAa1Vu-maAXZhlhUXf720o7QsVRpMp0,<p>Swapped out by SMG from FLMD0096 (Glas-Sled05) - This FLASHRF should be returned as FAULTY&nbsp;</p>,X-003A,,FLASHRF,UK,,0,5270,FLRF0094,FAULTY,HALLMARK ELECTRONICS LIMITED,
2016-05-05,,,USA,2016-05-05,PNI RM3100 Magnetometer Evaluation Module,EAR99,11299,NLR,2016-05-05,0B8g1PtZpbs-qSWd1anJLWjZ1a3M,1.0,1c7XYOvqtx1_hV2frmcjDPEHgOuxGv04f1pnXW3ba61w,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,,0,5104,RM3K1010,FAULTY,PNI,
2017-04-12,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18059,NLR,2017-04-13,0B8g1PtZpbs-qcUlMQjZpNlQ3Tm8,1.0,1kuuKGgQMBOngxGt_WpxB5Gqj9dB2Rqsfs1EonhlEdeg,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-04-06 00:00:00+00:00,0,2170028,RM3K1029,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-09-29,,,USA,2017-09-28,PNI RM3100 Magnetometer Evaluation Module,EAR99,20534,NLR,2017-09-29,0B8g1PtZpbs-qTHg1czhzOE1mX2M,1.0,1R_9bglOPbrGCbyNBWryf6JBHOFG0Kvnsfg3lHDHOfuE,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-09-29 00:00:00+00:00,0,2170211,RM3K1052,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-09-29,,,USA,2017-09-28,PNI RM3100 Magnetometer Evaluation Module,EAR99,20536,NLR,2017-09-29,0B8g1PtZpbs-qYzg1eTVaRWhQT0U,1.0,1Dm7a9urvaYw6RugvAV5ClhjMuc7dh5ByZ6R6wwpieA8,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-09-29 00:00:00+00:00,0,2170211,RM3K1054,FAULTY,WILLOW TECHNOLOGIES LTD,
2017-08-07,,,USA,2017-03-14,PNI RM3100 Magnetometer Evaluation Module,EAR99,18080,NLR,2017-08-04,0B8g1PtZpbs-qTzRLc1hLTEhvOFk,1.0,1-MrPjUuppWH_X6h0aWEJ1ipvGIyaNg3zPyk1vbJ-OrU,"<p><strong>Checked-out</strong> to <strong>MANUFACTURING</strong> for Parts Request <a href=""/inventory/parts_requests/0000046"">0000046</a></p>",MANUFACTURING,,XRM3100,UK,2017-12-01 00:00:00+00:00,0,2170028,RM3K1050,FAULTY,WILLOW TECHNOLOGIES LTD,
